realtime_start,realtime_end,date,value
2025-01-25,2025-01-25,1990-06-01,0.5417956656347079
2025-01-25,2025-01-25,1990-07-01,0.384911470361808
2025-01-25,2025-01-25,1990-08-01,0.92024539877301
2025-01-25,2025-01-25,1990-09-01,0.83586626139817
2025-01-25,2025-01-25,1990-10-01,0.602863602110005
2025-01-25,2025-01-25,1990-11-01,0.224719101123606
2025-01-25,2025-01-25,1990-12-01,0
2025-01-25,2025-01-25,1991-01-01,0.5979073243647061
2025-01-25,2025-01-25,1991-02-01,0.14858841010403198
2025-01-25,2025-01-25,1991-03-01,0.14836795252225599
2025-01-25,2025-01-25,1991-04-01,0.14814814814812902
2025-01-25,2025-01-25,1991-05-01,0.295857988165682
2025-01-25,2025-01-25,1991-06-01,0.29498525073748405
2025-01-25,2025-01-25,1991-07-01,0.147058823529393
2025-01-25,2025-01-25,1991-08-01,0.293685756240824
2025-01-25,2025-01-25,1991-09-01,0.43923865300146603
2025-01-25,2025-01-25,1991-10-01,0.145772594752206
2025-01-25,2025-01-25,1991-11-01,0.29112081513828403
2025-01-25,2025-01-25,1991-12-01,0.0725689404934595
2025-01-25,2025-01-25,1992-01-01,0.145032632342278
2025-01-25,2025-01-25,1992-02-01,0.362056480810998
2025-01-25,2025-01-25,1992-03-01,0.5050505050505361
2025-01-25,2025-01-25,1992-04-01,0.143575017946859
2025-01-25,2025-01-25,1992-05-01,0.143369175627241
2025-01-25,2025-01-25,1992-06-01,0.3579098067286961
2025-01-25,2025-01-25,1992-07-01,0.21398002853068102
2025-01-25,2025-01-25,1992-08-01,0.28469750889679807
2025-01-25,2025-01-25,1992-09-01,0.283889283179561
2025-01-25,2025-01-25,1992-10-01,0.353857041755123
2025-01-25,2025-01-25,1992-11-01,0.141043723554302
2025-01-25,2025-01-25,1992-12-01,-0.0704225352112772
2025-01-25,2025-01-25,1993-01-01,0.49330514446792795
2025-01-25,2025-01-25,1993-02-01,0.350631136044892
2025-01-25,2025-01-25,1993-03-01,0.34940600978336
2025-01-25,2025-01-25,1993-04-01,0.278551532033427
2025-01-25,2025-01-25,1993-05-01,0.138888888888889
2025-01-25,2025-01-25,1993-06-01,0.13869625520112802
2025-01-25,2025-01-25,1993-07-01,0
2025-01-25,2025-01-25,1993-08-01,0.27700831024930894
2025-01-25,2025-01-25,1993-09-01,0.20718232044198104
2025-01-25,2025-01-25,1993-10-01,0.41350792556855703
2025-01-25,2025-01-25,1993-11-01,0.0686341798215785
2025-01-25,2025-01-25,1993-12-01,0
2025-01-25,2025-01-25,1994-01-01,0.274348422496554
2025-01-25,2025-01-25,1994-02-01,0.34199726402188
2025-01-25,2025-01-25,1994-03-01,0.340831629175198
2025-01-25,2025-01-25,1994-04-01,0.135869565217392
2025-01-25,2025-01-25,1994-05-01,0.0678426051560472
2025-01-25,2025-01-25,1994-06-01,0.33898305084745006
2025-01-25,2025-01-25,1994-07-01,0.27027027027027106
2025-01-25,2025-01-25,1994-08-01,0.40431266846361397
2025-01-25,2025-01-25,1994-09-01,0.268456375838927
2025-01-25,2025-01-25,1994-10-01,0.06693440428381099
2025-01-25,2025-01-25,1994-11-01,0.13377926421403
2025-01-25,2025-01-25,1994-12-01,0
2025-01-25,2025-01-25,1995-01-01,0.400801603206414
2025-01-25,2025-01-25,1995-02-01,0.39920159680638895
2025-01-25,2025-01-25,1995-03-01,0.331345261762749
2025-01-25,2025-01-25,1995-04-01,0.33025099075298203
2025-01-25,2025-01-25,1995-05-01,0.197498354180374
2025-01-25,2025-01-25,1995-06-01,0.197109067017092
2025-01-25,2025-01-25,1995-07-01,0
2025-01-25,2025-01-25,1995-08-01,0.26229508196721396
2025-01-25,2025-01-25,1995-09-01,0.19620667102680703
2025-01-25,2025-01-25,1995-10-01,0.326370757180149
2025-01-25,2025-01-25,1995-11-01,-0.0650618087182741
