PC1,PC2,PC3,FEDRates,Cluster
-2.079738213827956,3.16909141451044,0.512092224143804,11.43,1
-1.991431985224084,2.650513930672503,0.5207558670390037,13.77,1
-2.0270995515438663,2.888026338752553,0.4861053731250933,13.18,1
-2.063611926472811,3.1126891180025718,0.5619334371747423,13.78,1
-2.2937388285123315,4.357713343992894,0.943291879059963,13.82,1
-2.287878011964864,4.320185965349029,0.9399483714280517,14.13,1
-2.3188134655024903,4.518268684544164,0.957596582076172,17.19,1
-2.2407911844493764,3.7531081701260622,1.2262161781229235,17.61,1
-2.206977151551179,3.4818165655058286,1.5369156033743134,10.98,1
-2.2404323635384467,3.686904032961132,1.610999601977671,9.47,1
-1.9226006575360597,1.6444190739417652,1.5400151196773944,9.03,1
-2.1313853434625543,2.9904172441335257,1.6041253369940178,9.61,1
-2.162746951503576,3.209487692640265,1.512020055005619,10.87,1
-2.1585753949359474,3.428190346864209,1.5280435506147625,12.81,1
-2.121894408165504,3.193318419306628,1.5071175997306627,15.85,1
-2.1510073610832974,3.4071200205321044,1.3587311901544965,18.9,1
-1.8994927226203095,2.410832630900318,1.287765478940773,19.08,1
-1.963137907867041,2.827488455349384,1.269075795546582,15.93,1
-1.8614303355380168,2.1762449730075057,1.2110531562861495,14.7,1
-1.8663277858890397,2.1714705421217,1.0992260435670564,15.72,1
-1.9001861572900152,2.3608804579735243,1.2835366459150226,18.52,1
-1.9306024142796967,2.5556387111514267,1.300888662746726,19.1,1
-1.963619887657854,2.967377740942151,1.1676915648304411,19.04,1
-1.867301425288115,2.332382233501173,1.2227399390596518,17.82,1
-1.9300812069775368,2.716108263925457,1.3685514670110808,15.87,1
-1.7275727741107665,1.293962881453321,1.4101020658888332,15.08,1
-1.7620373519677384,1.4781248859506246,1.6497568035796415,13.31,1
-1.7635659415341174,1.469653573125387,1.7606254482880246,12.37,1
-1.5533904443135782,0.4524794053681877,1.536642604257993,13.22,1
-1.5558357238833,0.4407482375538851,1.7030325105000366,14.78,1
-1.4342442716623365,-0.3469431728290527,1.6886647207076897,14.68,1
-1.5771678675993863,0.6259771131164195,1.9415851439151348,14.94,1
-1.7298481439896587,1.5944742692138518,2.08368524735952,14.45,1
-1.8196102679404207,2.1509708626712367,2.244889795472384,14.15,1
-1.61021989770763,0.7793213838079978,2.2342323275942144,12.59,1
-1.5205225763693817,0.2049807072250633,2.1830613557633285,10.12,1
-1.523139947922412,0.1943514611254054,2.3495494378917723,10.31,1
-1.5502892931092105,0.3740895051219207,2.5324989493667167,9.71,1
-1.406504791206133,-0.5830946927229093,2.6704652697982527,9.2,1
-1.3473982904642685,-0.9615593683682058,2.636745900709418,8.95,1
-1.3318292119495627,-0.503150857317468,2.31966641062194,8.68,1
-1.2868189312484786,-0.7055624077997358,2.316613174497672,8.51,1
-0.9254119079288586,-1.15914696702532,2.5436688273415924,8.77,1
-1.3870705124966782,0.4239373244679738,2.3320564715900227,8.8,1
-1.0934637225398838,0.0183168912345527,2.495955812556704,8.63,1
-0.6775701424342224,-0.8129725349549771,2.741732909011441,8.98,1
-0.9694950165469952,-0.3422351732380657,2.086545511813757,9.37,1
-1.237166111297992,-0.2942504335413478,1.857332568608345,9.56,1
-1.2772504603957249,0.0715265604101087,1.7367565524241524,9.45,1
-1.1412093787533353,-0.2998836898695093,1.5078368307164751,9.48,1
